Est.:;Cidade:
PA ;BELÉM
PR ;UNIÃO DA VITÓRIA
MT ;CUIABÁ
ES ;NOVA VENÉCIA
SP ;SÃO BERNARDO DO CAMPO
MG ;BETIM
DF ;TAGUATINGA
MT ;CUIABÁ
PA ;BARCARENA
SP ;ITAPETININGA
RS ;BAGÉ
SP ;SÃO PAULO
BA ;VITÓRIA DA CONQUISTA
SC ;BALNEÁRIO GAIVOTA
SP ;SÃO PAULO
ES ;LINHARES
CE ;FORTALEZA
CE ;FORTALEZA
SP ;SÃO JOSÉ DOS CAMPOS
SC ;CRICIÚMA
RJ ;MACUCO
DF ;NÚCLEO BANDEIRANTE
SP ;JUNDIAÍ
SP ;SÃO CARLOS
SP ;ITATIBA
ES ;GUAÇUí
MG ;COROMANDEL
BA ;PRADO
RO ;PORTO VELHO
DF ;GUARÁ
SP ;PRESIDENTE PRUDENTE
SE ;ARACAJU
SP ;ARARAS
RS ;SANTA MARIA
PI ;TERESINA
BA ;ALAGOINHAS
SP ;SÃO JOSÉ DOS CAMPOS
SP ;CRUZEIRO
RJ ;SÃO GONÇALO
BA ;SALVADOR
SC ;MARAVILHA
SC ;JOINVILLE
PE ;OLINDA
BA ;SALVADOR
PE ;GRAVATÁ
PA ;ITAITUBA
SP ;SÃO PAULO
MS ;CAMPO GRANDE
MS ;CAMPO GRANDE
RS ;SANTA MARIA
GO ;ANÁPOLIS
MT ;RONDONÓPOLIS
RS ;HORIZONTINA
SP ;LINS
PR ;PARANAVAÍ
SP ;ARUJÁ
RJ ;ARARUAMA
SP ;SOROCABA
BA ;SALVADOR
RS ;CANOAS
RJ ;TRÊS RIOS
GO ;ANÁPOLIS
ES ;ECOPORANGA
PR ;APUCARANA
BA ;ILHÉUS
SP ;SÃO PAULO
PR ;TOLEDO
MG ;MONTE CARMELO
PR ;CASCAVEL
SP ;CÂNDIDO MOTA
AL ;MACEIÓ
AL ;SANTANA DO IPANEMA
CE ;JUAZEIRO DO NORTE
MG ;IPATINGA
GO ;ITUMBIARA
GO ;CHAPADÃO DO CÉU
SP ;SÃO PAULO
RN ;NATAL
SP ;SÃO PAULO
RS ;FARROUPILHA
RS ;CHARQUEADAS
MS ;DOURADOS
DF ;SOBRADINHO
RO ;PORTO VELHO
TO ;ARAGUAÍNA
PI ;TERESINA
ES ;VILA VELHA
BA ;SALVADOR
ES ;VITÓRIA
MT ;CUIABÁ
BA ;SALVADOR
MG ;CLÁUDIO
CE ;IGUATU
MS ;CAMPO GRANDE
SE ;ARACAJU
BA ;LUÍS EDUARDO MAGALHÃES
MG ;BOM DESPACHO
SC ;JOINVILLE
MG ;ITUIUTABA
MG ;BRUMADINHO
RO ;ARIQUEMES
PE ;JABOATÃO DOS GUARARAPES
MS ;JARDIM
RJ ;PETRÓPOLIS
SP ;VINHEDO
PR ;SANTO ANTÔNIO DA PLATINA
SP ;SÃO PAULO
RJ ;RIO DE JANEIRO
SP ;EMBU-GUAÇU
PR ;ARAPONGAS
PR ;FRANCISCO BELTRÃO
RJ ;NITERÓI
PR ;FOZ DO IGUAÇU
SP ;ITAQUAQUECETUBA
PB ;JOÃO PESSOA
BA ;ITABUNA
PR ;MARECHAL CÂNDIDO RONDON
BA ;FEIRA DE SANTANA
DF ;BRASÍLIA
BA ;SALVADOR
BA ;SALVADOR
SP ;IGARAÇU DO TIETÊ
MT ;DENISE
MG ;BELO HORIZONTE
PR ;ARAPONGAS
ES ;GUARAPARI
MG ;BAMBUÍ
BA ;SALVADOR
PR ;MARINGÁ
SC ;FLORIANÓPOLIS
SP ;ITATIBA
SP ;SÃO PAULO
RJ ;RIO DE JANEIRO
AL ;MACEIÓ
MT ;RONDONÓPOLIS
RO ;VILHENA
BA ;ILHÉUS
RJ ;NOVA FRIBURGO
RJ ;CAMPOS DOS GOYTACAZES
TO ;GURUPI
BA ;VITÓRIA DA CONQUISTA
MT ;JUÍNA
SP ;SÃO JOSÉ DOS CAMPOS
MG ;BELO HORIZONTE
GO ;JATAÍ
SC ;BLUMENAU
RJ ;RIO DE JANEIRO
PR ;TERRA ROXA
ES ;ITARANÁ
SP ;SÃO PAULO
PR ;SÃO JOSÉ DOS PINHAIS
MT ;SAPEZAL
MT ;LUCAS DO RIO VERDE
PR ;CURITIBA
GO ;GOIÂNIA
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
PB ;PATOS
MG ;MANHUMIRIM
PE ;RECIFE
RJ ;RIO DE JANEIRO
RJ ;CABO FRIO
SP ;SÃO PAULO
PR ;MARINGÁ
MG ;UNAÍ
RJ ;ITAPERUNA
RJ ;RIO DE JANEIRO
MG ;IPANEMA
MG ;PARACATU
BA ;FEIRA DE SANTANA
ES ;VITÓRIA
MG ;IPATINGA
PR ;MARINGÁ
MG ;BELO HORIZONTE
SP ;PENÁPOLIS
AC ;TARAUACÁ
PR ;CURITIBA
SP ;SÃO PAULO
SP ;AVARÉ
AL ;MACEIÓ
DF ;BRASÍLIA
SP ;CAMPINAS
CE ;FORTALEZA
SP ;FARTURA
SP ;ITU
MG ;CARATINGA
SP ;CÂNDIDO MOTA
BA ;LUíS EDUARDO MAGALHÃES
MS ;DOURADOS
RJ ;RIO DE JANEIRO
PA ;REDENÇÃO
MG ;INHAPIM
SC ;SIDERÓPOLIS
MG ;GUANHÃES
SP ;SÃO JOSÉ DO RIO PRETO
SC ;CHAPECÓ
ES ;CARIACICA
MA ;SÃO LUÍS
SP ;JUQUITIBA
MG ;UNAÍ
BA ;FEIRA DE SANTANA
SC ;BALNEÁRIO CAMBORIÚ
SP ;GARÇA
SP ;IGARAÇU DO TIETÊ
SP ;VOTUPORANGA
MG ;UBERABA
RS ;SÃO LOURENÇO DO SUL
BA ;SALVADOR
ES ;ARACRUZ
SP ;SÃO JOSÉ DOS CAMPOS
SP ;ARARAQUARA
PR ;GUAÍRA
RJ ;NITERÓI
MA ;SÃO LUÍS
PR ;MARINGÁ
PR ;IRATI
PR ;CIANORTE
DF ;TAGUATINGA
ES ;SERRA
CE ;FORTALEZA
SE ;ARACAJU
BA ;SALVADOR
SP ;MORUNGABA
SP ;ITAJOBI
RS ;CAMAQUÃ
SP ;ARAÇATUBA
RS ;PASSO FUNDO
SP ;IGARAPAVA
GO ;ANÁPOLIS
MA ;SÃO LUÍS
RS ;SANTIAGO
SC ;CURITIBANOS
BA ;JACOBINA
SP ;SÃO PAULO
SP ;SOROCABA
SE ;ARACAJU
PA ;BELÉM
CE ;FORTALEZA
PR ;PATO BRANCO
ES ;VITÓRIA
MG ;CARANGOLA
SC ;LAGES
AL ;MACEIÓ
SC ;SIDERÓPOLIS
MG ;PARÁ DE MINAS
RJ ;ITAGUAÍ
SC ;XAXIM
BA ;IPIAÚ
RJ ;CORDEIRO
SP ;SÃO PAULO
SP ;SANTANA DE PARNAÍBA
ES ;VITÓRIA
DF ;BRASÍLIA
MA ;BALSAS
BA ;BRUMADO
BA ;ILHÉUS
BA ;SANTO ANTÔNIO DE JESUS
BA ;LAURO DE FREITAS
SP ;SOROCABA
GO ;RIO VERDE
RS ;PELOTAS
SE ;ARACAJU
RS ;PORTO ALEGRE
ES ;VILA VELHA
GO ;SANTO ANTÔNIO DE GOIÁS
SP ;SÃO PAULO
RS ;LAJEADO
RS ;PASSO FUNDO
GO ;CERES
PR ;ITAMBÉ
SP ;SÃO JOSÉ DOS CAMPOS
MG ;UBÁ
MS ;SÃO GABRIEL DO OESTE
SP ;GUARULHOS
RS ;SANTA ROSA
RO ;JI-PARANÁ
PR ;TOLEDO
TO ;PALMAS
MS ;AQUIDAUANA
AL ;ARAPIRACA
MG ;MURIAÉ
BA ;FEIRA DE SANTANA
RN ;MOSSORÓ
RS ;CENTENÁRIO
RS ;PORTO ALEGRE
RS ;NOVA PRATA
MG ;TEÓFILO OTONI
RJ ;CAMPOS DOS GOYTACAZES
SP ;SÃO PAULO
SP ;SÃO PAULO
RS ;VIAMÃO
PI ;TERESINA
SP ;PEDERNEIRAS
CE ;FORTALEZA
RN ;CURRAIS NOVOS
PB ;SOUSA
BA ;JEQUIÉ
ES ;ARACRUZ
MG ;ITAJUBÁ
SC ;CANOINHAS
SC ;VIDEIRA
MG ;PARACATU
SP ;ITAJOBI
SP ;SANTA BÁRBARA D'OESTE
SP ;LINS
RS ;PORTO XAVIER
RJ ;PETRÓPOLIS
SP ;SÃO PAULO
SP ;SÃO CAETANO DO SUL
PR ;ASSAÍ
SP ;JUNDIAÍ
MG ;MANHUMIRIM
SP ;SÃO PAULO
BA ;JEQUIÉ
RJ ;VOLTA REDONDA
PR ;MANDAGUARI
SP ;LEME
PR ;GUARAPUAVA
RS ;SÃO SEBASTIÃO DO CAÍ
MG ;LAVRAS
SP ;SÃO PAULO
PR ;MARINGÁ
SC ;NOVA TRENTO
SP ;SÃO PAULO
BA ;SALVADOR
MG ;GOVERNADOR VALADARES
PA ;SANTARÉM
PR ;TERRA ROXA
BA ;ILHÉUS
MT ;PONTES E LACERDA
RS ;SANTA MARIA
MG ;BARBACENA
RS ;SÃO MARCOS
MG ;BELO HORIZONTE
PI ;TERESINA
ES ;JAGUARÉ
ES ;CACHOEIRO DE ITAPEMIRIM
RN ;NATAL
ES ;SÃO MATEUS
RJ ;CABO FRIO
RJ ;ITAPERUNA
ES ;CACHOEIRO DE ITAPEMIRIM
PR ;UNIÃO DA VITÓRIA
MG ;CORONEL FABRICIANO
PE ;PETROLINA
BA ;LAURO DE FREITAS
BA ;EUNÁPOLIS
PR ;PALOTINA
MG ;PARACATU
BA ;ALAGOINHAS
DF ;BRASÍLIA
SP ;SÃO JOSÉ DO RIO PRETO
MT ;PONTES E LACERDA
SP ;ARAÇATUBA
SP ;SANTO ANDRÉ
GO ;GOIÂNIA
MG ;MANHUAÇU
SE ;ARACAJU
RJ ;ANGRA DOS REIS
SP ;SÃO PAULO
SC ;JOINVILLE
SP ;SÃO VICENTE
MG ;BELO HORIZONTE
GO ;GOIÂNIA
RJ ;TERESÓPOLIS
SP ;GUARARAPES
RS ;SANTANA DO LIVRAMENTO
RJ ;RESENDE
PE ;CARUARU
SP ;TABOÃO DA SERRA
PA ;BELÉM
MT ;SINOP
ES ;COLATINA
SP ;AVARÉ
SP ;BARUERI
SC ;TUBARÃO
SP ;SÃO PAULO
SP ;SÃO CAETANO DO SUL
MG ;PARÁ DE MINAS
RJ ;RIO DE JANEIRO
SC ;JOINVILLE
SC ;BLUMENAU
RS ;SANTO ÂNGELO
MS ;CHAPADÃO DO SUL
SC ;ARMAZÉM
ES ;VILA VELHA
MG ;CLÁUDIO
MG ;MONTES CLAROS
RJ ;CAMPOS DOS GOYTACAZES
MT ;CANARANA
RJ ;VOLTA REDONDA
SP ;PORTO FERREIRA
BA ;ITAMARAJU
SC ;JOINVILLE
GO ;ANÁPOLIS
SP ;OSASCO
AL ;MACEIÓ
BA ;LUÍS EDUARDO MAGALHÃES
SP ;SÃO PAULO
MG ;TIMÓTEO
PB ;JOÃO PESSOA
MT ;BARRA DOS BUGRES
MT ;SINOP
SP ;JUNDIAÍ
ES ;JOÃO NEIVA
SP ;TABAPUÃ
RS ;TEUTÔNIA
PE ;JABOATÃO DOS GUARARAPES
MG ;JUIZ DE FORA
RJ ;MARICÁ
SP ;SÃO JOSÉ DO RIO PRETO
SP ;SÃO PAULO
PE ;ITAMBÉ
RJ ;RIO DE JANEIRO
GO ;RIO VERDE
AP ;MACAPÁ
PE ;ARCOVERDE
ES ;VILA VELHA
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;LEOPOLDINA
ES ;ÁGUIA BRANCA
SP ;SÃO PAULO
MS ;AMAMBAÍ
RS ;PÂNTANO GRANDE
MT ;RONDONÓPOLIS
RS ;CAPÃO DA CANOA
MG ;CONSELHEIRO LAFAIETE
SP ;TUPÃ
GO ;ITABERAÍ
ES ;SÃO GABRIEL DA PALHA
BA ;JEQUIÉ
PR ;LONDRINA
SP ;SÃO JOSÉ DO RIO PRETO
MA ;IMPERATRIZ
SP ;HOLAMBRA
PR ;UMUARAMA
RS ;NOVO HAMBURGO
RJ ;RIO DE JANEIRO
MT ;BARRA DO GARÇAS
SP ;SÃO PAULO
MS ;CAMPO GRANDE
RS ;TRÊS PASSOS
SP ;OSASCO
SP ;GUARULHOS
MG ;PONTE NOVA
BA ;PORTO SEGURO
RJ ;MACAÉ
SP ;JOSÉ BONIFÁCIO
SP ;SÃO PAULO
RJ ;NITERÓI
SP ;SÃO PAULO
PR ;CAMPO MOURÃO
RJ ;CABO FRIO
SP ;MACATUBA
ES ;VITÓRIA
MS ;TRÊS LAGOAS
GO ;FORMOSA
SP ;SÃO VICENTE
SP ;SÃO PAULO
MG ;OURO PRETO
SE ;ARACAJU
BA ;SALVADOR
MT ;CUIABÁ
SC ;BLUMENAU
MG ;JUIZ DE FORA
MG ;ARAXÁ
BA ;TEIXEIRA DE FREITAS
PI ;PARNAÍBA
MG ;VARGINHA
RO ;JARU
SP ;ESTIVA GERBI
MG ;MONTES CLAROS
SP ;SOROCABA
SC ;RIO DO SUL
RJ ;NOVA IGUAÇU
SC ;BLUMENAU
ES ;VILA VELHA
MG ;CAMPO DO MEIO
ES ;ARACRUZ
SC ;FLORIANÓPOLIS
RJ ;RIO DE JANEIRO
MS ;INOCÊNCIA
MG ;ITUIUTABA
RS ;CARAZINHO
RS ;PASSO FUNDO
PR ;GUARAPUAVA
MG ;JANAÚBA
RJ ;RIO DE JANEIRO
RS ;CHARQUEADAS
PR ;CAMBARÁ
RS ;TUPANCIRETÃ
ES ;COLATINA
DF ;BRASÍLIA
PA ;NOVO REPARTIMENTO
MG ;POÇOS DE CALDAS
SC ;SÃO MIGUEL DO OESTE
MG ;PATROCÍNIO
MA ;SÃO LUÍS
PR ;DOIS VIZINHOS
MS ;BRASILÂNDIA
RJ ;RESENDE
RS ;PASSO FUNDO
SP ;SÃO CAETANO DO SUL
MT ;NOVA MUTUM
PR ;BANDEIRANTES
SE ;ARACAJU
SP ;OSASCO
RJ ;RIO DE JANEIRO
MG ;UBERLÂNDIA
RO ;BURITIS
MS ;PARANAÍBA
BA ;VITÓRIA DA CONQUISTA
PR ;ROLÂNDIA
MG ;CATAGUASES
PA ;TUCURUÍ
RN ;NATAL
SP ;SANTO ANDRÉ
SP ;SÃO CAETANO DO SUL
MG ;BELO HORIZONTE
ES ;VITÓRIA
SP ;BRAGANÇA PAULISTA
RJ ;RIO DE JANEIRO
MG ;SETE LAGOAS
SC ;BRUSQUE
SP ;INDAIATUBA
SP ;CAMPINAS
ES ;VITÓRIA
CE ;FORTALEZA
RS ;NOVO HAMBURGO
SP ;MOGI-MIRIM
SC ;TUBARÃO
SP ;SÃO PAULO
ES ;LINHARES
SP ;PENÁPOLIS
RJ ;DUQUE DE CAXIAS
PR ;CAMPO LARGO
RJ ;CASIMIRO DE ABREU
MG ;CRUZÍLIA
RJ ;NOVA FRIBURGO
MG ;TIRADENTES
ES ;GOVERNADOR LINDENBERG
RJ ;RIO DE JANEIRO
RJ ;NITERÓI
MG ;VIÇOSA
RS ;URUGUAIANA
SP ;SÃO PAULO
GO ;URUAÇU
SP ;ARAÇATUBA
MG ;BOM DESPACHO
MG ;SETE LAGOAS
SC ;TUBARÃO
MS ;ELDORADO
PI ;TERESINA
SP ;SÃO SEBASTIÃO
SP ;DOIS CÓRREGOS
BA ;SANTO ANTÔNIO DE JESUS
PE ;PETROLINA
MT ;PEDRA PRETA
MG ;ANDRADAS
BA ;SALVADOR
SP ;SÃO PAULO
RS ;SÃO LEOPOLDO
ES ;LINHARES
SP ;SÃO PAULO
BA ;TEIXEIRA DE FREITAS
SP ;LUCÉLIA
MG ;BOM DESPACHO
PR ;LONDRINA
SP ;SÃO PAULO
MS ;CAMPO GRANDE
SP ;SÃO PAULO
PR ;ASTORGA
SP ;CORDEIRÓPOLIS
PR ;BORRAZÓPOLIS
GO ;RIO VERDE
SP ;SÃO PAULO
MS ;CAMPO GRANDE
SP ;VOTUPORANGA
SP ;PEDREIRA
MA ;SÃO LUÍS
SP ;PIRACICABA
DF ;BRASÍLIA
SP ;SANTO ANDRÉ
SP ;SÃO PAULO
RJ ;RIO DE JANEIRO
SP ;SÃO JOSÉ DO RIO PRETO
MS ;CAMPO GRANDE
CE ;FORTALEZA
SP ;CAPIVARI
AC ;RIO BRANCO
SC ;GAROPABA
BA ;ITABUNA
ES ;ANCHIETA
ES ;VITÓRIA
SC ;FLORIANÓPOLIS
SC ;CURITIBANOS
RJ ;RIO DE JANEIRO
PR ;CURITIBA
SC ;JOINVILLE
MS ;CAMPO GRANDE
PR ;CURITIBA
PI ;TERESINA
PR ;CURITIBA
SC ;CHAPECÓ
AP ;MACAPÁ
SP ;SÃO PAULO
RO ;PORTO VELHO
MT ;BARRA DO GARÇAS
RS ;CANOAS
SP ;ARAÇATUBA
DF ;BRASÍLIA
MG ;SACRAMENTO
ES ;PIÚMA
ES ;MARATAÍZES
SP ;SÃO PAULO
MG ;SANTA RITA DO SAPUCAÍ
RJ ;RIO DE JANEIRO
SP ;ÁGUAS DE LINDÓIA
AL ;MACEIÓ
MT ;CUIABÁ
PE ;RECIFE
BA ;ITABUNA
SP ;SERRA NEGRA
SP ;TREMEMBÉ
RO ;ROLIM DE MOURA
SP ;SÃO PAULO
MT ;LUCAS DO RIO VERDE
SE ;ARACAJU
MG ;MONTES CLAROS
SP ;SÃO JOSÉ DOS CAMPOS
MG ;CRUZÍLIA
RS ;ARROIO GRANDE
RJ ;RIO DE JANEIRO
MG ;ITABIRA
SC ;JOINVILLE
SP ;ÁGUAS DE LINDÓIA
SP ;CAMPINAS
MG ;JANAÚBA
RS ;PORTO ALEGRE
MS ;CAMPO GRANDE
MG ;UBERABA
SP ;PEDREIRA
RS ;ERECHIM
PE ;RECIFE
RJ ;MIGUEL PEREIRA
SP ;BAURU
MG ;SETE LAGOAS
MG ;SÃO GOTARDO
RS ;TORRES
GO ;GOIATUBA
SE ;ARACAJU
RN ;MOSSORÓ
ES ;VILA VELHA
MG ;TEÓFILO OTONI
ES ;VITÓRIA
MG ;JUIZ DE FORA
RJ ;NOVA IGUAÇU
MG ;NANUQUE
MG ;ITAÚNA
SP ;PORTO FERREIRA
SP ;LENÇÓIS PAULISTA
PB ;CAMPINA GRANDE
SC ;MAFRA
BA ;VITÓRIA DA CONQUISTA
BA ;SALVADOR
SC ;BLUMENAU
SP ;SANTOS
RS ;NOVA PÁDUA
SP ;IBITINGA
SC ;JOINVILLE
SC ;CHAPECÓ
SP ;JUNDIAÍ
MG ;CARATINGA
RS ;LAJEADO
BA ;SALVADOR
SC ;VIDEIRA
GO ;POSSE
MS ;CAMPO GRANDE
MG ;DIAMANTINA
GO ;ANÁPOLIS
MS ;SÃO GABRIEL DO OESTE
RS ;SARANDI
SP ;SÃO PAULO
BA ;GUANAMBI
SP ;ANDRADINA
MG ;TEÓFILO OTONI
PA ;BELÉM
PE ;RECIFE
SP ;COTIA
RJ ;RIO DE JANEIRO
MG ;UBERLÂNDIA
CE ;FORTALEZA
PR ;MARINGÁ
PR ;FOZ DO IGUAÇU
SP ;SANTA BÁRBARA D'OESTE
SC ;BALNEÁRIO CAMBORIÚ
ES ;JOÃO NEIVA
SP ;VOTUPORANGA
MS ;MARACAJÚ
MG ;ITURAMA
MT ;CUIABÁ
RN ;MOSSORÓ
MA ;SÃO LUÍS
SC ;INDAIAL
SP ;SÃO PAULO
SE ;LAGARTO
RS ;GRAVATAÍ
PR ;JANDAIA DO SUL
SP ;SANTOS
PA ;BELÉM
PR ;LONDRINA
RS ;SANTO ANTÔNIO DA PATRULHA
PR ;IBAITI
SP ;ITAPETININGA
SP ;SANTO ANDRÉ
PR ;MARINGÁ
GO ;FORMOSA
SP ;SÃO PAULO
PA ;ITAITUBA
MG ;SETE LAGOAS
PI ;TERESINA
BA ;EUNÁPOLIS
RN ;NATAL
DF ;BRASÍLIA
MG ;LAGOA SANTA
SP ;SÃO PAULO
MS ;RIO VERDE DE MATO GROSSO
GO ;RIO VERDE
DF ;BRASÍLIA
SP ;SÃO PAULO
PR ;CAMPO LARGO
RN ;NATAL
PE ;RECIFE
MG ;BARBACENA
DF ;BRASÍLIA
SP ;SANTO ANDRÉ
MG ;MONTE CARMELO
SP ;SÃO PAULO
PE ;RECIFE
SP ;TANABI
SP ;SÃO PAULO
SP ;PORTO FERREIRA
PE ;JABOATÃO DOS GUARARAPES
BA ;LAURO DE FREITAS
PB ;SOUSA
SP ;SÃO PAULO
MT ;JACIARA
SP ;SÃO PAULO
RJ ;SÃO JOÃO DE MERITI
SP ;SÃO PAULO
SP ;ITAPETININGA
SP ;COTIA
MT ;CUIABÁ
MT ;TANGARÁ DA SERRA
RS ;RESTINGA SECA
AL ;MACEIÓ
RS ;PORTO ALEGRE
MG ;PEDRO LEOPOLDO
BA ;CAETITÉ
SP ;PORTO FERREIRA
DF ;BRASÍLIA
PE ;RECIFE
RS ;CAPÃO DA CANOA
RS ;MORRO REUTER
RJ ;SANTO ANTÔNIO DE PÁDUA
PR ;JACAREZINHO
SC ;FLORIANÓPOLIS
SC ;CONCÓRDIA
MS ;COXIM
BA ;ITABERABA
RS ;SANTA MARIA
SP ;SÃO PAULO
SP ;SÃO PAULO
RS ;SANTA CRUZ DO SUL
PR ;LONDRINA
MT ;CAMPO VERDE
AM ;MANAUS
SP ;BARUERI
DF ;BRASÍLIA
PA ;ITAITUBA
TO ;PALMAS
BA ;SALVADOR
AL ;MACEIÓ
RS ;SÃO MARCOS
RJ ;RIO DE JANEIRO
SP ;SÃO PAULO
SC ;JOINVILLE
PE ;RECIFE
ES ;VITÓRIA
CE ;MARANGUAPE
PE ;CARUARU
SP ;SÃO PAULO
SP ;ATIBAIA
PR ;FOZ DO IGUAÇU
AC ;RIO BRANCO
RJ ;VOLTA REDONDA
MS ;CAMPO GRANDE
RO ;PORTO VELHO
AL ;MACEIÓ
DF ;BRASÍLIA
RO ;PORTO VELHO
RS ;SANTA CRUZ DO SUL
PA ;BELÉM
DF ;BRASÍLIA
RJ ;TERESÓPOLIS
RJ ;CAMPOS DOS GOYTACAZES
GO ;GOIÂNIA
BA ;JACOBINA
RS ;ALEGRETE
SC ;IÇARA
RS ;GRAMADO
SP ;SÃO PAULO
PR ;FOZ DO IGUAÇU
RJ ;RIO DE JANEIRO
CE ;FORTALEZA
RN ;NATAL
SC ;CRICIÚMA
MS ;CAMPO GRANDE
RS ;TENENTE PORTELA
GO ;PORANGATU
SC ;JOAÇABA
SP ;SÃO PAULO
GO ;GOIÂNIA
RJ ;SAQUAREMA
RJ ;ITAPERUNA
MG ;PATOS DE MINAS
RS ;FREDERICO WESTPHALEN
RS ;PELOTAS
SP ;PENÁPOLIS
BA ;CAMAÇARI
PR ;CURITIBA
SP ;BOTUCATU
RS ;FREDERICO WESTPHALEN
MG ;ANDRADAS
PR ;PORECATU
SP ;PARAGUAÇU PAULISTA
SP ;SANTOS
RS ;CAXIAS DO SUL
SP ;SÃO PAULO
PR ;CURITIBA
SP ;SÃO PAULO
RJ ;NILÓPOLIS
SP ;BURI
RS ;CAPÃO DA CANOA
MG ;UBERABA
SP ;CAMPINAS
SP ;JUNDIAÍ
SP ;SÃO CAETANO DO SUL
RJ ;CAMPOS DOS GOYTACAZES
MA ;SÃO LUÍS
ES ;VITÓRIA
RS ;SÃO GABRIEL
SE ;ARACAJU
RN ;CAICÓ
PR ;PONTA GROSSA
ES ;VITÓRIA
RJ ;NITERÓI
SE ;ARACAJU
DF ;BRASÍLIA
RS ;IJUÍ
SC ;FLORIANÓPOLIS
MG ;VESPASIANO
RO ;PORTO VELHO
SP ;SÃO PAULO
DF ;BRASÍLIA
DF ;BRASÍLIA
RN ;NATAL
SP ;SANTA ADÉLIA
SC ;BLUMENAU
